"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
3.3333333,138961.34,125850.24,35556.6,260182.73,41715.113,52259.902,449.8989,789.54926,2126.3525,3687.04,3351.957,4101.0283,761.5828,1431.0469,43081.973,140152.28,24402.05,10338.287,9686.361,50013.05,10323.231,66295.28,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
3.4166667,118726.53,57060.758,36759.656,183543.17,32014.086,63606.777,434.5537,853.17505,1993.9875,3803.7136,3872.4644,4132.9937,1289.8173,1441.1404,47580.08,139226.86,25478.441,9893.998,9339.502,49276.9,10885.5625,68720.85,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
3.5,168460.62,52369.203,59732.625,150615.42,30830.484,68911.734,316.2899,926.4296,2342.005,3841.4802,5758.062,4258.1743,1665.5964,1409.9647,44262.535,137907.94,24156.053,9451.504,10421.552,48277.176,6737.6045,71424.74,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
3.5833333,211181.84,74663.836,62006.98,154250.06,34542.71,78490.305,393.47046,943.1295,1954.2266,3794.5977,6417.343,4467.565,1663.8705,1387.4353,42739.74,136722.1,23059.154,9001.688,9488.496,47283.312,4972.614,72696.3,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
3.6666667,155606.36,139532.12,61260.37,156850.36,18551.32,87434.47,460.05243,938.61383,2541.5222,3871.059,6448.146,4899.2344,1708.8772,1420.2019,41494.586,135438.17,22029.477,8632.377,9709.78,46634.1,3503.257,74416.59,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
3.75,122431.95,165941.0,54435.402,161692.42,14374.691,83091.18,498.1378,908.4939,2932.7004,4011.23,6010.0454,4893.323,1485.5231,1491.0034,42197.31,134856.47,21103.363,8284.5205,7832.613,47198.008,3467.7913,75011.97,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
3.8333333,81608.06,147153.14,47577.047,152040.75,41252.906,80699.54,770.9901,876.3057,3386.2935,4014.708,6151.262,4829.92,1355.1082,1443.9049,62204.793,133069.06,26524.707,8067.9985,8210.439,46185.336,7492.0996,75272.3,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
3.9166667,79214.69,86869.39,44180.105,149384.11,31578.936,87526.98,790.42017,903.5705,3358.3157,3938.5547,5896.0747,5207.9175,1502.2913,1391.1898,77535.71,131201.39,27709.373,7887.983,7566.5796,46156.85,9230.083,75525.0,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
4.0,115474.75,85648.305,49618.074,155333.44,32512.865,91090.59,530.27075,940.65594,2694.1223,3862.9937,8046.326,5125.5806,1679.7526,1342.5664,67539.625,129191.31,26471.006,7673.5493,6784.3833,46832.05,7389.3433,75812.75,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
4.0833335,136405.88,91733.945,53283.723,160709.11,49828.633,87488.17,418.66504,963.88324,2408.2,3737.5679,7996.308,4999.7354,1440.3651,1350.7307,62143.945,126749.31,25307.248,7476.6953,6572.2305,47948.484,5284.807,76182.945,3185.453,10604.094,22905.625,3347.305,2.4729602,1000000.0
