"\ Biomass (tons) of preys at the beginning of the time step (before all sources of mortality - fishing, predation, starvation, others)"
"Time","OctopusVulgaris < 90.0","OctopusVulgaris >=90.0","MelicertusKerathurus < 8.0","MelicertusKerathurus >=8.0","MetapenaeusMonoceros < 8.0","MetapenaeusMonoceros >=8.0","TrachurusTrachurus < 11.0","TrachurusTrachurus >=11.0","SardinaPilchardus < 9.0","SardinaPilchardus >=9.0","SardinellaAurita < 11.0","SardinellaAurita >=11.0","EngraulisEncrasicolus < 9.0","EngraulisEncrasicolus >=9.0","DiplodusAnnularis < 9.0","DiplodusAnnularis >=9.0","MustelusMustelus < 50.0","MustelusMustelus >=50.0","MerlucciusMerluccius < 11.0","MerlucciusMerluccius >=11.0","PagellusErythrinus < 9.0","PagellusErythrinus >=9.0","CILC","COPC","HNFC","PHYSN","PHYLN","Benthos"
2.25,213353.92,196536.31,41976.695,299646.78,21133.668,105200.5,696.0231,677.79724,6226.722,1609.2318,3311.6262,1278.7845,934.474,1303.2104,37982.03,141824.84,17004.674,8939.005,2463.4282,41327.53,7224.5527,75982.445,2687.463,11703.4,23371.43,3272.2014,1.1818094,1000000.0
2.3333333,175619.7,169944.7,41947.754,306059.8,42804.723,102319.03,731.1891,689.09485,5539.426,1692.3066,2930.2356,1275.6935,772.4366,1378.7488,48696.03,138823.33,22480.537,8668.091,2215.1562,40855.97,7375.7715,76591.89,2874.2244,13095.865,23183.678,3212.1252,3.0419776,1000000.0
2.4166667,189257.31,114413.97,49703.582,311220.97,34701.83,99415.25,703.25793,814.2116,4760.562,1719.5703,2581.5066,1361.5242,1041.8162,1549.3873,51940.246,137557.5,23424.336,8708.895,2739.2502,40483.03,7275.2485,80425.47,3434.5044,14829.03,23357.594,3293.4778,9.413045,1000000.0
2.5,290786.38,100721.87,52773.83,314560.1,33142.37,82605.5,431.44626,1128.412,4057.173,1771.6143,2600.5212,1573.264,1245.3035,1582.3232,44784.023,136336.78,22242.014,8469.855,2922.7026,40439.44,6620.4795,82656.21,4179.952,15995.177,23807.732,3400.5378,9.21079,1000000.0
2.5833333,339873.3,97246.984,54966.914,321945.56,37863.555,80858.805,381.9904,1178.2971,3521.6157,1922.9644,3129.9182,1661.4935,1252.4525,1618.5004,41564.004,134121.11,21075.121,8253.053,3153.0024,40287.992,6049.234,83807.63,5358.3647,17073.785,24474.902,3548.8257,5.3704267,1000000.0
2.6666667,322718.6,119389.8,50865.01,327203.38,24631.137,71851.95,356.3044,1224.9733,3947.8694,2238.3992,3144.191,1757.8159,1318.8724,1720.2385,52357.367,130713.055,19840.559,8240.114,3442.4163,39998.926,6442.417,84961.055,6327.974,16606.395,24553.451,3626.4175,2.0170026,1000000.0
2.75,289819.2,145307.33,49106.062,328685.06,24712.695,56509.215,424.65445,1228.6436,4725.621,2352.1863,3038.7568,1983.8223,1087.4658,1755.0992,44659.926,128673.586,18742.027,8124.242,3073.3123,39911.33,5970.6226,86988.586,7062.719,15116.888,24912.043,3650.347,2.3900566,1000000.0
2.8333333,248001.66,127636.72,51684.46,329823.88,40204.824,52043.125,419.94635,1244.3109,4753.8936,2443.4736,2937.3674,2027.0942,1121.8372,1759.681,60698.633,124019.87,24149.285,7986.117,2152.8845,39343.676,7815.1626,88090.57,6767.8804,13432.585,25242.328,3659.7585,4.002277,1000000.0
2.9166667,228823.05,79578.125,58182.28,341280.84,30040.436,62985.027,400.58777,1269.5669,4209.7393,2517.8105,3227.1294,2136.6982,1214.988,1766.4535,62100.61,121934.67,25196.938,7862.748,1784.2964,38819.66,6593.596,90247.234,5674.9395,11356.918,25146.398,3644.8872,7.6112924,1000000.0
3.0,321113.53,73963.06,58193.617,350231.6,26879.209,60463.625,343.16394,1258.5153,3597.4673,2675.1382,3588.4832,2287.777,1206.5586,1811.5154,49974.676,119541.48,23794.07,7708.208,2115.464,38435.062,3645.6946,92455.74,3868.8416,10474.005,23493.826,3362.793,8.211368,1000000.0
